District,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,Mean Vaccination
Ferozepur,6990.0,6994,4616,4886.0,4891.0,4956,5144,5561,5731,5891,5892,6158.0,6632,6913,7280,7284,5989.0
Gurdaspur,8009.0,8009,7879,8059.0,8115.0,8180,8318,8488,8549,8698,9041,9070.0,9256,9422,9600,9600,8643.0
Hoshiarpur,5934.0,5951,5467,5873.0,5906.0,6057,6155,6231,6336,6518,6550,6632.0,6986,7236,7605,7785,6451.0
Jalandhar,16089.0,16099,16070,16322.0,16374.0,16729,18374,19597,20873,22397,22516,23197.0,23779,24276,24625,24625,20121.0
Kapurthala,2778.0,2778,2636,2747.0,2753.0,2839,2876,2937,2994,3139,3139,3236.0,3253,3445,3574,3574,3044.0
Ludhiana,20372.0,20378,20557,20811.0,20846.0,21185,21955,23205,23923,25268,25269,28136.0,29878,32164,34259,34332,25159.0
Mansa,2661.0,2661,2348,2675.0,2695.0,2707,2733,2733,2733,2755,2755,2869.0,3011,3020,3020,3020,2775.0
Moga,1418.0,1418,1336,1362.0,1367.0,1397,1576,1726,1738,1894,1902,2032.0,2082,2155,2178,2178,1735.0
Pathankot,6790.0,6791,6775,6863.0,6938.0,7188,7508,7838,7972,8237,8237,8478.0,8579,8676,8799,8799,7779.0
Patiala,12635.0,12641,12665,13112.0,13322.0,13484,13952,14382,14465,14802,14802,15097.0,15256,15853,16174,16380,14314.0
Rupnagar,2032.0,2032,2030,2092.0,2092.0,2290,2433,2577,2579,2944,2944,3145.0,3286,3503,3506,3506,2687.0
Sangrur,4132.0,4179,3886,4175.0,4176.0,4459,4577,4793,4831,5494,5519,5691.0,6029,6320,6482,6482,5077.0
S.A.S. Nagar,9189.0,10064,9000,9545.0,9661.0,9758,10155,10205,10206,11077,11077,11203.0,11332,11400,11411,11443,10420.0
Shahid Bhagat Singh Nagar,1583.0,1584,1500,1681.0,1725.0,1880,1983,2056,2109,2299,2299,2463.0,2616,2811,3151,3151,2181.0
Sri Muktsar Sahib,1357.0,1357,1283,1523.0,1541.0,1633,1693,1768,1768,1960,1968,2368.0,2619,2710,2962,2962,1967.0
Tarn Taran,9251.0,9251,9241,9282.0,9282.0,9553,9636,9887,9888,9918,9923,10010.0,10242,10409,10488,10488,9797.0
Ajmer,15166.0,15185,15184,16175.0,16691.0,16948,18693,18990,19730,20747,20971,22199.0,23215,24399,24610,24911,19613.0
Alwar,19936.0,19936,19888,20090.0,20483.0,21132,21519,22419,23042,23726,23909,25493.0,26936,27785,28638,28775,23357.0
Banswara,9177.0,9177,9805,9997.0,9997.0,10007,10119,10272,10500,11187,11465,12405.0,12730,13281,13299,13360,11049.0
Baran,8105.0,8105,8104,8133.0,8134.0,8137,8236,8425,8940,9238,9238,9473.0,9627,10274,10868,11302,9021.0
Barmer,11867.0,11870,11823,12019.0,12053.0,12065,12641,13287,13674,15487,15493,16204.0,16628,17109,17163,20130,14345.0
Bharatpur,7921.0,7931,7930,7987.0,8123.0,8123,8223,8631,9220,9611,9621,10495.0,10784,11484,11502,12473,9379.0
Bhilwara,15599.0,15599,15600,15689.0,15734.0,15788,15897,16739,17162,17937,17998,19294.0,19749,20891,22671,22681,17814.0
Bikaner,9020.0,9066,9132,9328.0,9375.0,9378,9866,10260,10823,11661,11702,12339.0,12676,13092,13333,14048,10944.0
Bundi,6915.0,6921,7017,7062.0,7138.0,7156,7691,7939,8248,8955,8971,9887.0,9928,10358,10794,11188,8510.0
Chittorgarh,10701.0,10706,10708,10747.0,10747.0,10753,11754,11926,12083,13085,13112,13699.0,13895,14344,14359,14359,12311.0
Churu,8454.0,8454,8505,8563.0,8599.0,8621,8995,9221,9401,10331,10365,10779.0,10825,11228,11390,11390,9695.0
Dausa,4595.0,4595,5306,5361.0,5485.0,5618,5693,5962,6217,6651,6653,6773.0,6879,7426,7835,7835,6180.0
Dholpur,5150.0,5150,5150,5625.0,5687.0,5747,5807,6240,6602,6818,6830,7038.0,7039,7244,7692,7880,6356.0
Dungarpur,6163.0,6166,6455,6579.0,6587.0,6631,6718,7115,7400,8109,8235,8915.0,9009,9689,9690,9737,7700.0
Hanumangarh,5989.0,5990,6025,6078.0,6078.0,6092,6179,6360,6630,7268,7268,7681.0,7721,8082,8082,8618,6884.0
Jaipur,41559.0,41874,38909,39542.0,39750.0,41044,44064,49877,51803,58861,58961,61777.0,64148,68523,70456,70754,52619.0
Jaipur,15033.0,15033,15701,15835.0,15835.0,15868,16400,17247,18161,18377,18714,19683.0,21526,23703,23761,23761,18415.0
Jaisalmer,4689.0,4689,4689,4775.0,4775.0,5045,5097,5259,5358,5575,5781,5914.0,5935,6269,6899,7102,5491.0
Jalore,6353.0,6391,6426,6475.0,6475.0,6475,6560,6805,7371,7957,7957,8465.0,8484,9217,9219,9461,7506.0
Jhalawar,9387.0,9387,9386,9425.0,9797.0,9810,9858,9996,10258,10972,10972,11964.0,12297,12847,13120,13804,10830.0
Jhunjhunu,8664.0,8664,8686,8746.0,8746.0,9342,9494,9697,10063,10408,10415,11226.0,11595,13051,13300,13300,10337.0
Jodhpur,19535.0,19544,19541,19772.0,19777.0,19803,19988,20376,20796,21263,21312,22670.0,23815,26312,26704,27078,21768.0
Karauli,5109.0,5109,5120,5544.0,5544.0,5705,5812,6060,6497,6820,6820,7002.0,7122,8202,8283,8867,6476.0
Kota,13005.0,13028,13134,13228.0,13228.0,13706,13779,13973,14616,16556,16672,17225.0,18143,18792,19290,19879,15516.0
Nagaur,17724.0,17836,17697,17994.0,17994.0,18006,18502,18809,19321,20856,20856,21424.0,21484,22224,22224,23118,19754.0
Pali,11030.0,11071,11007,11231.0,11231.0,12032,12818,13176,13501,14243,15048,15543.0,15786,16413,16413,16585,13570.0
Pratapgarh,3039.0,3042,3059,3109.0,3142.0,3191,3454,3634,3770,4053,4113,4689.0,5262,5422,5793,5805,4036.0
Rajsamand,7825.0,7825,7818,7896.0,7920.0,8163,8223,8385,8546,8741,8818,9235.0,9353,9610,9751,9765,8617.0
Sawai Madhopur,5450.0,5456,5456,5506.0,5529.0,5529,5834,5977,6436,6866,6866,7422.0,7465,7832,7835,8627,6505.0
Sikar,8449.0,8449,8445,8546.0,8546.0,8742,9055,9288,9639,10687,10817,11893.0,12278,13574,13978,14054,10402.0
Sirohi,3961.0,4063,4029,4080.0,4120.0,4137,4188,4331,4575,4943,5170,5472.0,5486,6058,6058,6062,4796.0
Ganganagar,12441.0,12456,12449,12589.0,12589.0,12595,12742,13102,13412,14086,14387,15442.0,15888,16688,16793,16799,14029.0
Tonk,8226.0,8226,8209,8333.0,8333.0,8342,8431,8540,8786,9677,9677,10410.0,11119,11711,12732,12959,9607.0
Udaipur,25201.0,25201,24989,25336.0,25336.0,25387,25704,26072,26614,30143,30269,33970.0,38370,41551,45522,45726,30962.0
East Sikkim,8082.0,8475,9179,9491.0,9583.0,9618,9643,10121,10156,10488,10515,10592.0,10680,10767,10777,10777,9934.0
North Sikkim,2103.0,2103,2069,2071.0,2071.0,2051,2124,2127,2127,2127,2127,2170.0,2222,2246,2250,2250,2140.0
South Sikkim,2472.0,2475,2475,3009.0,3034.0,3034,3056,3057,3057,3059,3059,3177.0,3316,3323,3323,3323,3016.0
West Sikkim,3437.0,3437,3382,3524.0,3840.0,3851,3874,4214,4216,4294,4294,4294.0,4330,4337,4337,4337,4000.0
Pudukkottai,450.0,450,452,541.0,583.0,628,637,648,648,651,659,673.0,675,696,815,818,626.0
Ariyalur,1889.0,1889,1875,1892.0,1903.0,1958,2021,2021,2130,2164,2171,2209.0,2280,2407,2630,2684,2133.0
Salem,1876.0,1876,1876,1876.0,1907.0,1993,2033,2073,2087,2091,2243,2310.0,2391,2576,2878,2955,2190.0
Chengalpattu,6821.0,6821,6820,6835.0,6875.0,7032,7268,7336,7409,7502,7645,7844.0,7948,8045,8135,8478,7426.0
Chennai,32951.0,33132,27967,32011.0,33089.0,34214,36988,40680,42152,49422,50213,51077.0,52586,53899,55808,56260,42653.0
Tiruvannamalai,1013.0,1013,1022,1063.0,1139.0,1159,1175,1182,1185,1210,1250,1274.0,1335,1379,1423,1423,1203.0
Coimbatore,22887.0,22887,19511,22221.0,22326.0,22334,23358,23450,23813,23908,23907,24793.0,25467,25939,26288,26763,23741.0
Cuddalore,5387.0,5401,5358,5466.0,5587.0,5712,5881,5923,5921,6018,6118,6170.0,6853,7077,7609,7761,6140.0
Dharmapuri,3272.0,3272,3243,3244.0,3384.0,3421,3466,3599,3679,3730,3826,3927.0,4237,4412,4551,4660,3745.0
Dindigul,5618.0,5625,5188,5577.0,5580.0,5846,6058,6231,6240,6348,6372,6508.0,6643,6936,7279,7342,6212.0
Erode,2780.0,2780,2776,2807.0,2842.0,3020,3146,3451,3459,3491,3561,3793.0,4087,4165,4249,4250,3416.0
Kallakurichi,3049.0,3049,3030,3050.0,3050.0,3064,3097,3112,3114,3126,3135,3171.0,3202,3256,3341,3652,3156.0
Kancheepuram,3370.0,3370,3237,3313.0,3331.0,3388,3473,3509,3702,3838,3909,4026.0,4141,4442,4803,4803,3791.0
Kanyakumari,18747.0,18747,17539,18119.0,18197.0,18304,18465,18865,18880,18903,18913,18965.0,19096,19306,19728,19770,18784.0
Karur,4894.0,4907,4911,4926.0,4964.0,5003,5043,5103,5116,5156,5180,5233.0,5277,5553,5975,5975,5201.0
Thoothukkudi,612.0,617,632,685.0,712.0,724,741,765,769,778,782,794.0,827,863,901,907,757.0
Krishnagiri,4597.0,4651,4649,4650.0,4677.0,4828,4935,4989,5002,5044,5162,5311.0,5658,5935,6162,6251,5156.0
Madurai,17331.0,17331,14145,16586.0,16845.0,17370,18813,19011,19145,19745,19997,20870.0,21780,21969,22789,22862,19162.0
Nagapattinam,3381.0,3381,3364,3380.0,3388.0,3407,3516,3522,3524,3917,3919,4276.0,4324,4350,4762,4765,3824.0
Namakkal,4852.0,4852,4853,4891.0,4977.0,5104,5130,5204,5204,5221,5231,5292.0,5320,5419,5478,5482,5157.0
Nilgiris,3113.0,3113,3113,3133.0,3183.0,3282,3602,3933,4010,4098,4180,4452.0,4738,5016,5174,5257,3962.0
Dindigul,1781.0,1782,1708,1709.0,1710.0,1756,1854,1873,1898,1905,1955,2024.0,2055,2106,2120,2123,1897.0
Ramanathapuram,603.0,603,603,844.0,923.0,988,1016,1044,1061,1095,1172,1202.0,1248,1365,1562,1562,1056.0
Perambalur,967.0,967,939,939.0,1044.0,1173,1234,1261,1262,1327,1344,1437.0,1536,1590,1600,1674,1268.0
Thiruvallur,707.0,710,581,720.0,755.0,853,858,900,901,903,996,1036.0,1235,1294,1318,1318,943.0
Pudukkottai,2492.0,1499,1430,1560.0,1593.0,1612,1643,1674,1675,1681,1711,1740.0,1801,1837,1873,1913,1733.0
Ramanathapuram,3979.0,3980,4271,4276.0,4319.0,4326,4376,4379,4382,4393,4637,4704.0,4764,4957,5179,5185,4507.0
Ranipet,1329.0,1329,1305,1347.0,1366.0,1414,1416,1438,1439,1441,1455,1473.0,1483,1489,1511,1513,1422.0
Salem,11237.0,11242,10455,10658.0,10658.0,10782,11150,11384,11541,11596,11613,11809.0,12068,12861,14269,14487,11738.0
Sivaganga,7155.0,7159,7160,5418.0,4617.0,4690,4831,4894,4998,5023,5137,5326.0,5674,6534,7385,7702,5856.0
Virudhunagar,1876.0,1876,1855,1860.0,1985.0,1987,2027,2032,2083,2094,2219,2366.0,2519,3025,3267,3285,2272.0
Tenkasi,1441.0,1441,1439,1440.0,1450.0,1514,1542,1559,1563,1581,1598,1707.0,1786,1886,2028,2196,1636.0
Thanjavur,11856.0,11856,12109,12263.0,12275.0,12350,12407,12456,12548,12745,13001,13563.0,13847,15016,15360,16286,13121.0
Theni,2820.0,2820,2608,2781.0,2927.0,3008,3142,3361,3375,3395,3445,3630.0,3774,3981,4200,4258,3345.0
Thoothukkudi,8836.0,8836,8337,8601.0,8714.0,8879,9459,9563,9611,9736,9861,10115.0,10226,10385,10574,10580,9520.0
Tiruchirappalli,9681.0,9682,8970,9681.0,9681.0,10466,10625,10712,10778,10852,10887,11138.0,11320,11366,12503,12516,10679.0
Tirunelveli,10297.0,10297,9785,10309.0,10325.0,10352,10413,10433,10494,10495,10515,10522.0,10578,10699,10815,11175,10469.0
Tirupathur,1746.0,1746,1748,1789.0,1869.0,1907,2005,2081,2105,2125,2172,2238.0,2275,2356,2423,2690,2080.0
Tiruppur,4204.0,4204,3990,4016.0,4186.0,4235,4279,4322,4629,4651,4835,4972.0,5384,5686,5973,6347,4745.0
Thiruvallur,7536.0,7536,6472,7465.0,7552.0,7717,7861,7916,7948,7965,7993,8153.0,8250,8472,8724,8734,7893.0
Tiruvannamalai,2144.0,2144,2005,2173.0,2186.0,2326,2455,2555,2569,2600,2620,2765.0,2815,2952,3381,3389,2567.0
Thiruvarur,2826.0,2841,2841,2842.0,2997.0,3010,3347,3387,3413,3416,3497,3548.0,3681,3694,4029,4166,3346.0
Vellore,9269.0,9271,8356,8833.0,8935.0,9039,9568,10478,10705,10782,10814,11132.0,11301,19794,20321,20318,11807.0
Viluppuram,4509.0,4509,4509,4513.0,4513.0,4662,4671,4713,4713,4724,4749,4765.0,4807,4819,5357,6254,4799.0
Virudhunagar,4589.0,4589,4871,4882.0,4894.0,4941,4950,4950,5018,5044,5049,5159.0,5278,5372,5519,5547,5041.0
Adilabad,5186.0,5188,5187,6029.0,6046.0,6844,7057,7131,7140,7273,7433,7445.0,7567,7607,7653,7656,6778.0
Bhadradri Kothagudem,9891.0,10188,9347,9628.0,10841.0,11013,11565,11565,11769,12165,12165,12181.0,12189,12194,12370,12370,11340.0
Hyderabad,57865.0,57897,58289,58817.0,59280.0,61764,65042,67287,67605,74768,75069,76420.0,85154,95890,97047,97047,72203.0
Jagtial,4443.0,4585,4581,4768.0,4773.0,4972,5383,5387,5801,6258,6258,6263.0,6373,6477,6546,6546,5588.0
Jangaon,1908.0,1908,1886,1963.0,2021.0,2651,3246,3246,3269,3477,3477,3505.0,3636,3658,3718,3718,2955.0
Jayashankar Bhupalapally,1635.0,1529,1528,1806.0,1876.0,2183,2267,2273,2288,2378,2378,2385.0,2470,2470,2470,2470,2150.0
Jogulamba Gadwal,2216.0,2237,2302,2395.0,2644.0,2776,3420,3420,3485,3486,3661,3661.0,3708,3708,3855,3855,3177.0
Kamareddy,3803.0,3875,3901,4226.0,4226.0,4348,5324,5324,5325,5808,5811,6023.0,6102,6147,6606,6606,5216.0
Karimnagar,7929.0,7939,7988,8621.0,8651.0,9166,9840,9904,10694,11635,11637,11707.0,12108,13206,14289,14364,10605.0
Khammam,7827.0,7847,7840,8708.0,8743.0,9141,9383,9392,9969,11583,11697,11725.0,12142,12303,12486,12511,10206.0
Komaram Bheem,2994.0,2960,2863,3086.0,3092.0,3289,4248,4248,4351,4522,4525,4536.0,4557,4557,4703,5007,3971.0
Mahabubabad,4747.0,4747,4744,4791.0,4791.0,4903,5314,5314,5318,5484,5651,5882.0,6014,6016,6016,6016,5359.0
Mahabubnagar,7052.0,7052,7107,7458.0,7503.0,7769,8227,8249,8269,9109,9176,9227.0,9849,10392,10957,10959,8647.0
Mancherial,4974.0,4998,4998,5370.0,5370.0,5617,5703,5728,5740,5849,5900,5910.0,6008,6285,6355,6511,5707.0
Medak,2611.0,2626,2622,3178.0,3333.0,3740,3882,3926,3933,3982,3982,3986.0,3990,3990,3990,3990,3610.0
Medchal Malkajgiri,14252.0,14793,14918,15418.0,15733.0,16402,17252,17434,17493,19392,22166,22475.0,23940,24888,25731,26064,19272.0
Mulugu,1814.0,1814,1848,2309.0,2309.0,2651,2879,2883,2906,2939,2961,2961.0,2961,3003,3003,3003,2640.0
Nagarkurnool,3130.0,3130,3246,3451.0,3504.0,3861,4404,4406,4411,4588,4589,4598.0,4873,5333,5451,5451,4277.0
Nalgonda,6390.0,6440,6350,7508.0,7658.0,9918,11295,11355,11366,12796,13072,13128.0,13485,13873,13888,13888,10776.0
Narayanpet,2035.0,2035,2038,2240.0,2240.0,2345,2436,2436,2441,2549,2549,2549.0,2550,2614,2614,2614,2393.0
Nirmal,3225.0,3238,3238,3798.0,3798.0,4450,4491,4491,4662,4891,4960,4968.0,5012,5118,5323,5334,4437.0
Nizamabad,8148.0,8151,7984,8142.0,8142.0,9086,10259,11663,12492,13082,13088,13112.0,14718,14931,15339,15447,11486.0
Peddapalli,3023.0,3024,3024,3496.0,3496.0,4181,4370,4370,4393,4489,4594,4594.0,4669,4813,4940,4940,4151.0
Rajanna Sircilla,2096.0,2096,2090,2291.0,2304.0,2640,2897,2897,3212,3515,3551,3587.0,3815,3982,3982,3982,3059.0
Ranga Reddy,22479.0,22579,23499,25018.0,25927.0,27860,28504,28561,29291,30216,30226,30780.0,32127,33590,35029,35316,28813.0
Sangareddy,6087.0,6087,6149,6483.0,6588.0,7259,8099,8217,8249,9045,9090,9092.0,9736,10211,10315,10315,8189.0
Siddipet,5105.0,5105,5096,5314.0,5370.0,5779,6251,6256,6264,6791,7112,7161.0,7575,7759,7862,7862,6416.0
Suryapet,4158.0,4245,4215,4563.0,4727.0,4911,5657,5921,5986,6238,6264,6264.0,6463,6877,6897,6897,5643.0
Vikarabad,3460.0,3444,3433,3910.0,3910.0,4603,4928,4928,4941,5012,5083,5091.0,5244,5334,5442,5446,4638.0
Wanaparthy,2318.0,2329,2325,2594.0,2597.0,2770,3035,3036,3044,3146,3177,3189.0,3387,3401,3469,3469,2955.0
Warangal Rural,2807.0,2853,2852,3123.0,3141.0,3422,3879,3905,3905,4184,4186,4188.0,4290,4345,4345,4345,3736.0
Warangal Urban,10978.0,10980,10991,11414.0,11642.0,12681,13624,13625,13716,14760,14760,14907.0,15712,16218,16450,16861,13707.0
Yadadri Bhuvanagiri,2904.0,2939,2927,3103.0,3121.0,3483,5413,5444,5446,5673,5676,5681.0,5869,6065,7397,7397,4909.0
Dhalai,3366.0,3366,3674,4362.0,4646.0,5062,5230,5241,5241,9952,10341,10341.0,10558,10702,10735,10735,7097.0
Gomati,3042.0,3042,2872,4495.0,4526.0,4561,5597,5688,5688,8799,8803,8959.0,9117,9373,9624,9624,6488.0
Khowai,2180.0,2180,2372,3452.0,3475.0,4440,4686,4697,4760,6742,6760,6766.0,6868,6982,7018,7018,5025.0
North Tripura,3117.0,3117,3457,3607.0,4452.0,4557,4692,4767,4767,6079,6201,6220.0,6605,6819,6859,6859,5136.0
Sipahijala,3074.0,3074,3077,4514.0,4937.0,5789,6137,6143,6145,7326,7326,7332.0,7551,8199,8806,8806,6140.0
South Tripura,4286.0,4286,4847,5433.0,5447.0,5650,5922,5932,5934,7145,7145,7161.0,7172,7274,7360,7360,6147.0
Unokoti,1305.0,1305,1711,1726.0,1746.0,1766,1831,1839,1839,2965,2965,2965.0,3112,3248,3248,3268,2302.0
West Tripura,8526.0,8529,9103,10424.0,10448.0,11706,12079,12198,12224,14745,15021,15148.0,16049,16816,17252,17567,12990.0
Agra,16486.0,18454,19593,19657.0,19738.0,19771,20668,20755,20977,20985,20994,21007.0,22162,22977,23141,23168,20658.0
Aligarh,12996.0,15854,16851,17651.0,18665.0,18680,19525,19617,19685,20136,20179,20256.0,20760,22095,22379,22384,19232.0
Ambedkar Nagar,7180.0,8791,9220,9385.0,9499.0,9564,10070,10126,10140,10203,10203,10203.0,11164,11798,11798,11807,10072.0
Amethi,7556.0,7556,7550,7949.0,7949.0,8084,8509,8513,8642,8643,8643,8643.0,9152,9318,9323,9323,8460.0
Amroha,7162.0,7163,7297,7681.0,7681.0,7689,8198,8201,8267,8268,8268,8269.0,8588,9015,9151,9151,8128.0
Auraiya,6219.0,6357,6534,6691.0,6714.0,6714,6875,6920,6922,6922,6922,6924.0,7105,7255,7256,7256,6849.0
Ayodhya,12797.0,12809,12448,12898.0,12982.0,13014,14074,14319,14413,14504,14515,14533.0,15255,15901,16245,16245,14184.0
Azamgarh,14606.0,15810,15499,16170.0,16207.0,16223,16706,17221,17389,17390,17390,17483.0,18364,19244,19334,19410,17153.0
Budaun,9016.0,11055,10879,11496.0,11501.0,11569,11901,11925,11931,11933,11933,11941.0,12495,12860,12860,12860,11760.0
Baghpat,5770.0,5824,5789,5989.0,6044.0,6050,6172,6183,6184,6185,6185,6186.0,6414,6485,6496,6496,6153.0
Bahraich,11094.0,11762,11609,11609.0,11738.0,11739,12521,12602,12670,12671,12671,12722.0,13119,13327,13333,13333,12408.0
Balrampur,10201.0,10201,10129,10163.0,10809.0,10839,11056,11165,11165,11166,11171,11171.0,11407,11545,11547,11547,10955.0
Ballia,6620.0,8087,7957,8177.0,8297.0,8299,8867,8899,9148,9149,9149,9155.0,9325,9898,10429,10492,8872.0
Banda,8234.0,8234,8019,8042.0,8042.0,8135,8551,8655,8665,8665,8665,8758.0,9393,9822,9847,9847,8723.0
Barabanki,16246.0,16246,16239,17127.0,17410.0,17478,18378,18380,18380,18380,18380,18403.0,19109,19754,19754,19754,18089.0
Bareilly,22643.0,23285,23252,25136.0,25173.0,25251,26080,26213,26231,26235,26235,26257.0,27865,28892,28895,28895,26034.0
Basti,11956.0,13747,14884,15719.0,16027.0,16057,16427,16582,16668,17444,17446,17791.0,18331,18859,19090,19452,16655.0
Bhadohi,4185.0,4531,4506,5323.0,5490.0,5490,5636,5657,5668,5843,5843,6009.0,6227,6365,6375,6375,5595.0
Bijnor,13660.0,13748,13738,14449.0,14501.0,14503,14993,15086,15282,15284,15284,15293.0,15924,16331,16461,16461,15062.0
Bulandshahr,12498.0,13693,13546,13713.0,14502.0,14512,15157,15393,15393,15435,15435,15456.0,16604,17148,17233,17234,15184.0
Chandauli,5440.0,6094,5810,6272.0,6964.0,7211,7595,7692,7869,7942,7942,8094.0,8550,8884,8912,8912,7511.0
Chitrakoot,3064.0,3067,3466,3632.0,3632.0,3641,3811,3890,3960,3979,3979,4045.0,4173,4335,4363,4441,3842.0
Deoria,9129.0,9928,10359,11179.0,11183.0,11199,11714,11720,11764,11764,11764,11778.0,12915,13490,13491,13491,11679.0
Etah,6339.0,7141,7136,7571.0,7688.0,7698,7822,7823,7840,7840,7840,7843.0,8262,8563,8587,8587,7786.0
Etawah,8914.0,9133,9341,9520.0,9552.0,9592,10149,10149,10187,10192,10192,10201.0,10603,10966,10967,10967,10039.0
Farrukhabad,6038.0,6210,5944,6025.0,6025.0,6079,6248,6353,6471,6605,6613,6613.0,7094,7277,7277,7277,6509.0
Fatehpur,10536.0,10536,11667,12124.0,12858.0,12873,13131,13134,13136,13142,13142,13142.0,13555,13888,13897,13897,12791.0
Firozabad,6385.0,8257,8156,8522.0,8522.0,8531,9478,9527,9551,9553,9554,9643.0,10264,10925,11065,11070,9313.0
Gautam Buddha Nagar,19241.0,19250,19507,19977.0,20015.0,20015,22113,22502,22643,22651,22651,22666.0,24046,25093,25359,25605,22083.0
Ghaziabad,22971.0,22981,19291,19309.0,19638.0,19689,22173,24398,24492,24889,25810,26082.0,27045,28502,28798,29084,24072.0
Ghazipur,9550.0,10941,10901,11078.0,12079.0,12079,12361,12463,12465,12496,12496,12849.0,13508,13802,13863,14084,12313.0
Gonda,11815.0,12590,12672,13187.0,13288.0,13315,13996,14007,14010,14010,14010,14018.0,15243,15772,16144,16154,14014.0
Gorakhpur,17113.0,17182,16690,17187.0,17293.0,20788,21482,22365,22474,22560,22560,22728.0,24131,26381,26806,26913,21541.0
Hamirpur,5077.0,5077,5000,5318.0,5318.0,5322,5703,5902,5902,5902,5902,5902.0,6161,6405,6513,6513,5745.0
Hapur,5136.0,5136,6054,6153.0,6153.0,6153,6626,6741,6747,6779,6783,6823.0,7148,7376,7420,7420,6540.0
Hardoi,12179.0,12767,13701,14973.0,15121.0,15121,15482,15696,15697,15792,15794,16152.0,16493,16968,17127,17131,15387.0
Hathras,4760.0,5014,5156,5572.0,6824.0,6838,7068,7169,7249,7251,7251,7252.0,7383,7909,8070,8154,6808.0
Jalaun,6123.0,6256,6234,6721.0,6721.0,6723,6935,6944,6944,6952,6952,6952.0,7508,7985,7987,7987,6995.0
Jaunpur,12655.0,12662,14078,14675.0,15278.0,15456,15876,16057,16058,16060,16060,16070.0,16729,17062,17076,17076,15558.0
Jhansi,12642.0,13123,14187,14263.0,14280.0,14286,14828,14828,14828,15309,15309,15309.0,15735,15939,15939,16138,14809.0
Kannauj,6574.0,6574,6668,6838.0,6892.0,6894,7257,7430,7561,7663,7666,7666.0,7913,8164,8213,8213,7387.0
Kanpur Dehat,7328.0,7328,7210,7762.0,7762.0,7762,7878,7878,7934,7956,7956,7986.0,8815,9174,9339,9339,8088.0
Kanpur Nagar,25670.0,25681,24213,24904.0,25060.0,25234,26344,27221,27247,27958,28176,28524.0,29281,30253,31015,31427,27388.0
Kasganj,4015.0,4015,4502,4719.0,5599.0,5636,5894,5911,5983,6097,6097,6098.0,6571,6898,6898,6898,5739.0
Kaushambi,5161.0,5161,5235,5345.0,5531.0,5546,5752,5755,5755,5982,5983,5984.0,6334,6689,6689,6689,5849.0
Kushinagar,9557.0,9840,9951,9961.0,10071.0,10166,10816,10825,11013,11036,11036,11036.0,11753,12262,12262,12262,10865.0
Lakhimpur Kheri,13023.0,13026,13752,15381.0,15582.0,16440,17093,17285,17304,17726,18103,18332.0,19323,19915,19981,19981,17015.0
Lalitpur,3655.0,4227,4340,4834.0,4834.0,4834,4942,4943,4943,5066,5066,5068.0,5392,5500,5507,5586,4921.0
Lucknow,40776.0,41612,42069,43171.0,43948.0,44035,46527,47907,49241,51529,51547,51711.0,55762,59663,61186,61273,49497.0
Maharajganj,9075.0,9085,9640,9950.0,10197.0,10939,11073,11591,11628,11704,11804,11842.0,12115,12572,12631,12631,11155.0
Mahoba,3076.0,3080,3303,3303.0,3307.0,3320,3364,3365,3365,3365,3382,3382.0,3639,3676,3676,3676,3392.0
Mainpuri,7411.0,9195,9087,9442.0,9783.0,9818,9995,10001,10002,10141,10142,10203.0,10423,10554,10554,10554,9832.0
Mathura,14616.0,14629,13895,14365.0,14369.0,14403,14852,15179,15180,15487,15635,15657.0,16200,17333,17399,17408,15413.0
Mau,7968.0,9338,9268,9268.0,9282.0,9284,9608,9676,9774,9774,9820,9855.0,10367,10753,10754,10755,9722.0
Meerut,20059.0,21151,21619,21686.0,21785.0,21912,22755,22861,22938,23085,23113,23181.0,24010,24517,24842,24940,22778.0
Mirzapur,9278.0,9798,10162,10300.0,10982.0,10982,11315,11517,11529,11547,11547,11567.0,12172,12614,12737,12737,11299.0
Moradabad,19674.0,20163,20018,20278.0,20622.0,20684,21792,21977,21990,22006,22006,22031.0,23106,24393,24459,24463,21854.0
Muzaffarnagar,6961.0,8445,8413,8754.0,8969.0,8970,9427,9428,9430,9433,9547,9630.0,10215,10724,10762,10805,9370.0
Pilibhit,7470.0,7470,8702,8847.0,8847.0,8847,9039,9040,9040,9040,9056,9056.0,9334,9595,9780,9780,8934.0
Pratapgarh,11136.0,11157,11067,11067.0,11112.0,11129,11698,11930,11930,11931,11931,11936.0,13413,13515,13555,13793,12019.0
Prayagraj,21786.0,22321,22430,22474.0,22694.0,23836,24455,25420,25531,25846,26113,26339.0,28045,30418,30841,31194,25609.0
Rae Bareli,10059.0,12037,11836,11836.0,11836.0,11856,12330,12352,12362,12362,12498,12535.0,12811,13291,13396,13490,12305.0
Rampur,10194.0,10200,9661,10031.0,10063.0,10075,11053,11237,11237,11334,11353,11355.0,11657,11820,11884,11894,10940.0
Saharanpur,12872.0,14214,13853,14527.0,14675.0,14676,15304,15446,15449,15449,15449,15449.0,15847,16270,16342,16402,15139.0
Sambhal,4546.0,4546,5969,6095.0,6124.0,6153,6597,6608,6626,6754,6754,6759.0,7301,7594,7623,7635,6480.0
